SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2017-18,Atlanta Hawks,November,1370.612351445606,36.0,1733.0,3740.0,10.0,26.0,1395.0,3050.0,394.0,1030.0,556.0,713.0,337.0,1108.0,1445.0,871.0,555.0,309.0,147.0,708.0
2018-19,Atlanta Hawks,October,1354.6512033805316,23.0,1104.0,2471.0,5.0,18.0,904.0,2054.0,261.0,821.0,402.0,542.0,232.0,778.0,1010.0,562.0,423.0,208.0,137.0,542.0
2018-19,Atlanta Hawks,April,1245.352146766278,7.0,336.0,759.0,2.0,5.0,273.0,622.0,96.0,263.0,117.0,165.0,64.0,253.0,317.0,171.0,130.0,56.0,40.0,168.0
2018-19,Atlanta Hawks,December,1297.3281756748022,50.0,2405.0,5512.0,16.0,34.0,2031.0,4493.0,584.0,1733.0,866.0,1161.0,584.0,1682.0,2266.0,1280.0,933.0,424.0,263.0,1188.0
2018-19,Atlanta Hawks,February,1294.6453171021737,77.0,3731.0,8699.0,28.0,49.0,3177.0,7041.0,999.0,2839.0,1346.0,1782.0,892.0,2654.0,3546.0,1988.0,1333.0,632.0,396.0,1814.0
2018-19,Atlanta Hawks,January,1239.9662386585276,62.0,2986.0,6900.0,21.0,41.0,2517.0,5563.0,762.0,2173.0,1104.0,1466.0,711.0,2100.0,2811.0,1575.0,1122.0,505.0,321.0,1462.0
2018-19,Atlanta Hawks,March,1223.131536481363,82.0,3971.0,9294.0,29.0,53.0,3392.0,7524.0,1067.0,3034.0,1443.0,1918.0,955.0,2825.0,3780.0,2118.0,1397.0,675.0,419.0,1932.0
2018-19,Atlanta Hawks,November,1274.715585815812,36.0,1733.0,3940.0,11.0,25.0,1447.0,3236.0,418.0,1251.0,628.0,854.0,407.0,1215.0,1622.0,924.0,666.0,316.0,204.0,861.0
2019-20,Atlanta Hawks,October,1219.7653864554334,20.0,970.0,2155.0,4.0,16.0,795.0,1771.0,204.0,653.0,361.0,484.0,203.0,642.0,845.0,467.0,358.0,172.0,95.0,470.0
2019-20,Atlanta Hawks,December,1281.696138196335,49.0,2367.0,5351.0,13.0,36.0,1961.0,4407.0,563.0,1744.0,866.0,1121.0,477.0,1631.0,2108.0,1143.0,820.0,396.0,253.0,1153.0
2019-20,Atlanta Hawks,February,1224.457985309635,67.0,3256.0,7488.0,20.0,47.0,2723.0,6067.0,805.0,2416.0,1237.0,1566.0,661.0,2237.0,2898.0,1605.0,1086.0,523.0,341.0,1548.0
2019-20,Atlanta Hawks,January,1333.257591435414,62.0,3001.0,6913.0,19.0,43.0,2512.0,5585.0,736.0,2216.0,1153.0,1457.0,598.0,2069.0,2667.0,1478.0,1004.0,492.0,319.0,1427.0
2019-20,Atlanta Hawks,November,1326.6424600453968,34.0,1647.0,3642.0,7.0,27.0,1350.0,3046.0,372.0,1181.0,570.0,754.0,330.0,1108.0,1438.0,787.0,586.0,285.0,169.0,759.0
2020-21,Atlanta Hawks,April,1305.3030266409783,72.0,3481.0,8186.0,41.0,31.0,2937.0,6281.0,895.0,2402.0,1417.0,1745.0,760.0,2525.0,3285.0,1737.0,953.0,503.0,342.0,1392.0
2020-21,Atlanta Hawks,December,1308.467775097781,19.0,922.0,2151.0,10.0,9.0,751.0,1684.0,235.0,669.0,414.0,508.0,220.0,689.0,909.0,455.0,276.0,127.0,96.0,385.0
2020-21,Atlanta Hawks,February,1313.0916218791338,47.0,2266.0,5284.0,23.0,24.0,1876.0,4080.0,591.0,1624.0,941.0,1149.0,516.0,1616.0,2132.0,1140.0,644.0,324.0,227.0,929.0
2020-21,Atlanta Hawks,January,1541.2837937272539,34.0,1642.0,3845.0,14.0,20.0,1353.0,2983.0,420.0,1174.0,719.0,878.0,389.0,1168.0,1557.0,825.0,482.0,237.0,164.0,673.0
2020-21,Atlanta Hawks,March,1490.6347922371676,4.0,192.0,515.0,3.0,1.0,168.0,350.0,65.0,159.0,114.0,134.0,46.0,153.0,199.0,104.0,63.0,20.0,17.0,90.0
2020-21,Atlanta Hawks,March,1490.6347922371676,64.0,3097.0,7209.0,34.0,30.0,2575.0,5579.0,792.0,2142.0,1267.0,1561.0,687.0,2214.0,2901.0,1528.0,858.0,443.0,299.0,1245.0
2021-22,Atlanta Hawks,May,1512.1026222120943,6.0,288.0,637.0,3.0,3.0,253.0,562.0,59.0,174.0,72.0,95.0,80.0,225.0,305.0,146.0,81.0,38.0,23.0,105.0
2021-22,Atlanta Hawks,December,1432.1099394024473,50.0,2400.0,5575.0,24.0,26.0,2036.0,4365.0,625.0,1672.0,878.0,1097.0,485.0,1735.0,2220.0,1211.0,616.0,337.0,221.0,914.0
2021-22,Atlanta Hawks,January,1443.6142936980946,58.0,2784.0,6510.0,28.0,30.0,2381.0,5093.0,734.0,1946.0,1014.0,1257.0,577.0,1996.0,2573.0,1414.0,717.0,402.0,255.0,1073.0
2021-22,Atlanta Hawks,November,1481.566495998139,35.0,1680.0,3872.0,16.0,19.0,1426.0,3104.0,433.0,1136.0,587.0,729.0,369.0,1221.0,1590.0,826.0,425.0,234.0,157.0,622.0
2003-04,Boston Celtics,December,1278.5607861780788,49.0,2357.0,4624.0,22.0,27.0,1683.0,3822.0,348.0,973.0,910.0,1202.0,498.0,1483.0,1981.0,1046.0,806.0,450.0,214.0,1129.0
2003-04,Boston Celtics,February,1377.0850995524056,75.0,3605.0,7104.0,34.0,41.0,2590.0,5868.0,503.0,1449.0,1421.0,1891.0,786.0,2239.0,3025.0,1545.0,1217.0,690.0,300.0,1669.0
2003-04,Boston Celtics,January,1347.6073160486446,61.0,2933.0,5757.0,25.0,36.0,2091.0,4747.0,410.0,1168.0,1165.0,1546.0,632.0,1832.0,2464.0,1265.0,1013.0,557.0,251.0,1391.0
