TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
New Orleans Pelicans,2951,6414,979.0,2648.0,1187,1621,745.0,2461.0,3206.0,1886,530.0,334.0,1094.0,1444,8068,16.49,2019-20,0,0,0,0,0,,30,42,0.417,22.5,18-30,4-9  ,15-21,15-21,2-4 ,1610612740,1399.0620015495915
New York Knicks,2532,5658,599.0,1769.0,1016,1467,777.0,2209.0,2986.0,1383,487.0,303.0,875.0,1397,6679,13.04,2019-20,0,0,0,0,0,,21,45,0.318,31.5,15-28,2-11 ,11-22,10-23,3-1 ,1610612752,1272.1966588764044
Oklahoma City Thunder,2811,5934,749.0,2063.0,1409,1763,575.0,2403.0,2978.0,1521,537.0,338.0,906.0,1328,7780,14.36,2019-20,1,0,0,0,0,5.0,44,28,0.611,8.5 ,27-19,8-5  ,23-14,21-14,4-2 ,1610612760,1515.143075171638
Orlando Magic,2715,6062,746.0,2159.0,1210,1551,660.0,2272.0,2932.0,1681,547.0,359.0,816.0,1201,7386,15.39,2019-20,1,0,0,0,0,8.0,33,40,0.452,23  ,20-23,9-5  ,18-17,15-23,1-1 ,1610612753,1362.5411951648794
Philadelphia 76ers,2745,5879,782.0,2127.0,1155,1523,668.0,2316.0,2984.0,1720,544.0,330.0,908.0,1365,7427,15.58,2019-20,1,0,0,0,0,7.0,43,30,0.589,13  ,28-18,11-5 ,31-4 ,12-26,1-2 ,1610612755,1392.229717236587
Phoenix Suns,2835,6079,801.0,2227.0,1393,1672,666.0,2290.0,2956.0,1895,522.0,271.0,974.0,1495,7864,15.05,2019-20,0,0,0,0,0,,34,39,0.466,19  ,19-27,6-9  ,17-22,17-17,1-2 ,1610612756,1499.5442038829533
Portland Trail Blazers,2976,6456,938.0,2479.0,1247,1541,647.0,2374.0,3021.0,1438,433.0,419.0,838.0,1426,8137,13.96,2019-20,1,0,0,0,0,8.0,35,39,0.473,18.5,20-27,5-8  ,21-15,14-24,3-0 ,1610612757,1424.7898285930717
Sacramento Kings,2737,5928,890.0,2408.0,1051,1354,607.0,2155.0,2762.0,1649,522.0,250.0,925.0,1442,7415,13.83,2019-20,0,0,0,0,0,,31,41,0.431,21.5,23-23,8-5  ,16-19,15-22,2-4 ,1610612758,1400.9339676589414
San Antonio Spurs,2855,6086,739.0,1970.0,1267,1555,578.0,2365.0,2943.0,1683,491.0,360.0,807.0,1271,7716,15.92,2019-20,0,0,0,0,0,,32,39,0.451,20  ,20-23,7-6  ,19-15,13-24,4-2 ,1610612759,1421.0704124540646
Toronto Raptors,2759,6019,924.0,2490.0,1288,1608,651.0,2447.0,3098.0,1746,607.0,348.0,963.0,1457,7730,16.84,2019-20,1,1,0,0,0,4.0,53,19,0.736,2.5 ,34-11,9-5  ,26-10,27-9 ,2-2 ,1610612761,1612.0635979881292
Utah Jazz,2785,5893,941.0,2456.0,1237,1585,596.0,2420.0,3016.0,1556,412.0,270.0,989.0,1340,7748,15.48,2019-20,1,0,0,0,0,6.0,44,28,0.611,8.5 ,24-21,5-7  ,23-12,21-16,0-2 ,1610612762,1432.3601621562711
Washington Wizards,2679,5814,758.0,2037.0,1234,1550,610.0,2004.0,2614.0,1571,465.0,265.0,840.0,1328,7350,15.0,2019-20,0,0,0,0,0,,25,47,0.347,30.5,18-27,5-9  ,16-20,9-27 ,0-3 ,1610612764,1254.0867687650257
Atlanta Hawks,3133,6917,984.0,2778.0,1349,1771,838.0,2532.0,3370.0,1951,610.0,380.0,1258.0,1713,8599,15.23,2018-19,0,0,0,0,0,,29,53,0.354,31  ,16-36,6-10 ,17-24,12-29,3-1 ,1610612737,1338.0665775427854
Boston Celtics,3313,7151,1001.0,2744.0,1232,1529,741.0,2714.0,3455.0,2068,674.0,386.0,975.0,1563,8859,16.18,2018-19,1,1,0,0,0,8.0,49,33,0.598,11  ,35-17,10-6 ,28-13,21-20,4-0 ,1610612738,1485.7116420592486
Brooklyn Nets,3227,7195,1033.0,2901.0,1519,2036,871.0,2833.0,3704.0,1921,527.0,335.0,1152.0,1732,9006,14.76,2018-19,1,0,0,0,0,6.0,42,40,0.512,18  ,29-23,8-8  ,23-18,19-22,5-2 ,1610612751,1399.404147375713
Charlotte Hornets,3291,7336,977.0,2777.0,1505,1886,814.0,2773.0,3587.0,1901,589.0,405.0,952.0,1546,9064,15.56,2018-19,0,0,0,0,0,,39,43,0.476,21  ,29-23,10-6 ,25-16,14-27,1-4 ,1610612766,1413.0333551607148
Chicago Bulls,3061,6764,685.0,1983.0,1262,1613,681.0,2652.0,3333.0,1699,561.0,335.0,1047.0,1586,8069,13.26,2018-19,0,0,0,0,0,,22,60,0.268,38  ,16-36,3-13 ,9-32 ,13-28,3-2 ,1610612741,1212.5723436291617
Cleveland Cavaliers,2786,6195,679.0,1922.0,1174,1482,766.0,2224.0,2990.0,1493,438.0,155.0,886.0,1324,7425,12.92,2018-19,0,0,0,0,0,,19,63,0.232,41  ,15-37,4-12 ,13-28,6-35 ,0-1 ,1610612739,1200.2233316308038
Dallas Mavericks,2940,6582,931.0,2752.0,1454,1958,770.0,2675.0,3445.0,1768,489.0,318.0,1044.0,1508,8265,14.52,2018-19,0,0,0,0,0,,33,49,0.402,24  ,18-34,4-12 ,24-17,9-32 ,1-3 ,1610612742,1296.8878749807234
